Energy,Experimental,Observational
0.003,589.843,1173.57
0.004,512.904,983.18
0.005,460.009,863.389
0.006,419.924,779.499
0.007,387.831,716.441
0.008,361.227,666.613
0.009,338.645,625.777
0.01,319.151,591.398
0.012,286.995,498.728
0.014,261.445,450.068
0.016,240.586,411.224
0.018,223.207,379.207
0.02,208.496,352.249
0.022,195.884,329.152
0.024,184.951,309.113
0.026,175.389,291.555
0.0281,166.565,275.32
0.03,159.506,262.247
0.0326,150.973,246.487
0.0349,144.355,234.199
0.037,138.955,224.113
0.0399,132.349,211.687
0.0424,127.326,202.158
0.0451,122.491,192.896
0.0472,119.095,186.335
0.0477,118.329,184.851
0.05,114.997,178.351
0.0551,108.589,165.683
0.0597,103.752,155.952
0.0603,103.176,154.784
0.065,99.0463,146.391
0.0702,95.1465,138.322
0.0751,91.991,131.675
0.0806,88.9332,125.118
0.0856,86.5164,119.847
0.09,84.6271,115.669
0.0947,82.816,111.614
0.0999,81.0244,107.552
0.1099,78.083,100.78
0.1197,75.7025,95.2522
0.1309,73.4378,89.9148
0.1392,72.0038,86.4898
0.1509,70.2608,82.2737
0.1613,68.9335,79.0165
0.1698,67.975,76.6394
0.179,67.0486,74.3073
0.1961,65.5943,70.5306
0.1998,65.3174,69.7956
0.2036,65.046,69.0663
0.2075,64.7806,68.3441
0.2116,64.5152,67.6122
0.2157,64.2632,66.916
0.22,64.0127,66.215
0.2244,63.7702,65.5251
0.229,63.531,64.8321
0.2337,63.3012,64.1518
0.2385,63.0809,63.4858
0.2435,62.8663,62.8189

